
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-25 01:49:52 / ................................................ ~ 1s
  2026-03-25 01:49:54 /vendor/bootstrap/css/bootstrap.min.css ...... ~ 0.14ms
  2026-03-25 01:49:54 /assets/css/fontawesome.css .................. ~ 0.31ms
  2026-03-25 01:49:54 /assets/css/templatemo-tale-seo-agency.css ... ~ 0.69ms
  2026-03-25 01:49:54 /assets/css/owl.css .......................... ~ 0.84ms
  2026-03-25 01:49:54 /assets/css/animate.css ...................... ~ 1.16ms
  2026-03-25 01:49:54 /assets/images/GuiaAstral.png ................ ~ 0.05ms
  2026-03-25 01:49:54 /assets/images/logo.png ...................... ~ 2.14ms
  2026-03-25 01:49:54 /assets/images/ConsejoDiario.png ............. ~ 0.04ms
  2026-03-25 01:49:54 /assets/images/HoroscopodeAmor.png ........... ~ 0.05ms
  2026-03-25 01:49:54 /assets/images/RitualLunar.png ............... ~ 0.04ms
  2026-03-25 01:49:54 /vendor/jquery/jquery.min.js ................. ~ 3.94ms
  2026-03-25 01:49:54 /vendor/bootstrap/js/bootstrap.min.js ........ ~ 0.07ms
  2026-03-25 01:49:54 /assets/js/isotope.min.js .................. ~ 503.73ms
  2026-03-25 01:49:54 /assets/js/owl-carousel.js ................... ~ 0.07ms
  2026-03-25 01:49:54 /assets/js/tabs.js ........................... ~ 0.08ms
  2026-03-25 01:49:54 /assets/js/popup.js .......................... ~ 0.20ms
  2026-03-25 01:49:54 /assets/js/custom.js ......................... ~ 0.03ms
  2026-03-25 01:49:54 /assets/panel/js/markdown.js ................. ~ 0.05ms
  2026-03-25 01:49:54 /assets/images/RitualdeProsperidad.png ....... ~ 0.06ms
  2026-03-25 01:49:54 /assets/images/CompatibilidadZodiacal.png .... ~ 0.22ms
  2026-03-25 01:49:55 /assets/images/banner-left.png ............... ~ 0.26ms
  2026-03-25 01:49:55 /assets/images/banner-right.png .............. ~ 0.68ms
